Knoten,Grad-Zentralität,Nähe-Zentralität,Zwischen-Zentralität
533, 0.0246253  , 0.156817 , 0.000951285 
534, 0.0203426  , 0.148655 , 0.000272195 
535, 0.0353319  , 0.16847  , 0.0286771   
536, 0.0224839  , 0.162548 , 0.00108341  
537, 0.0331906  , 0.162831 , 0.00194786  
538, 0.0256959  , 0.167384 , 0.0193975   
539, 0.0299786  , 0.144493 , 0.000323874 
540, 0.0267666  , 0.159877 , 0.00109576  
541, 0.0246253  , 0.159822 , 0.00104012  
542, 0.0214133  , 0.144919 , 7.85779e-05 
543, 0.0278373  , 0.159576 , 0.00146164  
544, 0.0182013  , 0.144247 , 0.000218666 
545, 0.0289079  , 0.162718 , 0.00143435  
546, 0.0267666  , 0.162661 , 0.00138865  
547, 0.0278373  , 0.145054 , 0.000150063 
548, 0.0289079  , 0.184439 , 0.0683423   
